"it","SSM","logl","sig2","K-prot","K-pat","nk1","nk2","nk3","nk4","nk5","nk1","nk2","nk3","nk4","nk5"
10,1.05561809116939,-54728.2428914837,1.05884297903491,20,19,534,497,433,266,262,4,3,3,2,2
20,1.0003317990498,-51934.440775175,1.00396376841525,20,18,481,387,375,270,214,5,4,3,2,2
30,0.974526295776109,-50577.3479438629,0.971495717046314,20,17,455,345,308,265,243,6,4,3,2,2
40,0.966902641584246,-50169.605489426,0.962692100640905,20,17,425,332,284,260,252,6,4,3,2,2
50,0.962622392391627,-49939.3147001136,0.962336735055606,20,16,399,302,280,267,262,6,4,3,3,2
60,0.960200567446772,-49809.9513440442,0.96270856012278,20,18,388,300,276,276,275,6,4,3,2,2
70,0.958374020353553,-49711.2181359911,0.956771891547826,20,17,393,299,298,274,273,6,4,3,3,2
80,0.957725751761074,-49676.3453854857,0.955712258958705,20,17,384,303,294,282,258,6,4,3,2,2
90,0.955671194636985,-49563.0124420858,0.946774785063524,20,17,386,308,287,284,273,6,4,4,2,2
100,0.95518903596643,-49536.8643922199,0.952446351936149,20,17,377,299,285,285,270,6,4,3,3,2
110,0.955221084179798,-49538.6602843762,0.955450332913809,20,16,396,312,276,272,264,6,4,3,3,2
120,0.954351835459136,-49491.3257230035,0.953080404699154,20,16,385,318,281,275,255,6,4,3,3,2
130,0.955640635538423,-49561.3741922562,0.957484105288036,20,17,409,310,284,277,252,6,4,3,2,2
140,0.954083349180627,-49477.1464105991,0.95661226682402,20,16,414,301,297,285,257,6,4,3,3,2
150,0.953070854497599,-49422.1284424445,0.950392334678083,20,16,413,314,292,281,264,6,4,3,3,2
160,0.952906401406224,-49412.6010898683,0.951022781257207,20,16,424,308,287,287,261,6,4,3,3,2
170,0.952406365562612,-49385.3475209662,0.957041861179039,20,17,410,317,305,282,258,6,4,3,2,2
180,0.951099725816414,-49314.9461752575,0.951930111028273,20,16,422,315,308,284,257,6,4,3,3,2
190,0.952885628995853,-49411.7483815774,0.957450598692381,20,16,414,306,298,295,254,6,4,3,3,2
200,0.951183480825542,-49320.1297892847,0.946259115688025,20,16,410,307,301,284,266,6,4,3,3,2
210,0.951764102253297,-49351.3079601244,0.943634418252229,20,16,396,320,289,283,260,6,4,3,3,2
220,0.951053860751056,-49313.1330140423,0.950398750026554,20,17,426,320,279,275,261,6,4,3,2,2
230,0.951355544576399,-49328.0411394936,0.9553377538319,20,17,423,315,290,273,257,6,4,3,2,2
240,0.951569966383135,-49339.8316758574,0.955037874658965,20,17,422,301,290,280,253,6,4,3,2,2
250,0.950992490149301,-49308.2437403837,0.950157696394594,20,17,397,307,303,296,259,6,4,3,2,2
260,0.951890622058081,-49357.2498015841,0.94346233300379,20,17,424,306,295,289,257,6,4,3,2,2
270,0.950512608868596,-49282.0437125076,0.953804387896572,20,15,416,306,304,285,254,6,4,3,3,3
280,0.951474999672856,-49334.5762061629,0.956047861125141,20,15,404,310,293,287,268,6,4,3,3,3
290,0.951172525315897,-49318.170388655,0.944449243447583,20,15,426,301,287,278,278,6,4,3,3,3
300,0.949752303177486,-49240.5227145223,0.953270848396902,20,15,434,307,283,273,267,6,4,3,3,3
310,0.948761991188466,-49187.007166611,0.95390228995272,20,15,439,320,287,272,264,6,4,3,3,3
320,0.948390092212715,-49166.0929069963,0.956916257127389,20,17,430,330,285,272,262,4,4,3,3,2
330,0.948149034062748,-49152.7824355616,0.949929909483623,20,16,419,332,282,272,262,4,4,3,3,3
340,0.947444985865902,-49114.1921880556,0.947273655903733,20,17,429,335,290,264,260,4,4,3,3,2
350,0.947768026996262,-49132.1657645326,0.948696885700768,20,15,424,311,281,275,260,6,4,3,3,3
360,0.947985531858918,-49144.2384275914,0.947459816831698,20,15,433,323,278,263,257,6,4,3,3,3
370,0.94723119684282,-49103.4114589891,0.949089496574321,20,16,427,315,276,275,254,6,4,3,3,2
380,0.947047702860554,-49092.4258498618,0.948478981251335,20,15,425,325,283,267,245,6,4,3,3,3
390,0.946159340991024,-49043.7486317231,0.937284970363605,20,18,403,324,285,272,242,5,4,3,2,2
400,0.946380323176573,-49055.8180137158,0.945241828987485,20,17,402,334,286,278,247,6,4,3,2,2
410,0.947013917691905,-49092.2075622516,0.94066682748922,20,17,415,334,302,274,238,6,4,3,2,2
420,0.946026576191102,-49036.5152964055,0.949441600254202,20,17,420,329,290,272,252,6,4,3,2,2
430,0.945318408142222,-48997.810230831,0.949701837229109,20,16,424,325,285,269,256,6,4,3,3,2
440,0.945784842484936,-49023.3628349757,0.949133098398473,20,16,413,315,287,273,263,6,4,3,3,2
450,0.945074232199056,-48984.1968725102,0.946119723334797,20,16,392,338,289,282,260,6,4,3,3,2
460,0.94649141664174,-49061.9450264367,0.944906953272094,20,17,395,328,298,286,260,5,4,3,3,2
470,0.945988806268271,-49034.8549829402,0.940053680948222,20,16,401,309,304,279,259,6,4,3,3,2
480,0.945744264481623,-49020.909905113,0.953088205620518,20,17,388,303,296,295,261,6,3,3,3,2
490,0.946362067525738,-49055.0324273997,0.945285911199638,20,16,391,302,292,290,262,6,4,3,3,2
500,0.946763280250376,-49076.8293397423,0.946730941421433,20,16,393,317,291,288,250,6,4,3,3,2
510,0.947033218602976,-49091.6253969339,0.948983853039009,20,15,395,315,290,284,264,6,4,3,3,3
520,0.946310225012059,-49053.1677201636,0.948910190202314,20,16,406,311,295,273,257,6,4,3,3,2
530,0.945045504580684,-48982.6520854341,0.947689860062358,20,16,396,320,287,275,270,6,4,3,3,2
540,0.94621567371816,-49048.40712671,0.944439116100467,20,15,380,328,300,283,264,6,4,3,3,3
550,0.946145364115883,-49042.9431233378,0.948325898595692,20,15,379,310,297,282,268,6,4,3,3,3
560,0.945259263763482,-48994.3335639074,0.943633002313701,20,16,389,317,302,271,255,6,4,3,3,2
570,0.945842700047057,-49026.388383187,0.953560328832548,20,15,391,310,292,290,263,6,4,3,3,3
580,0.946581718756724,-49066.8712226495,0.947225746754419,20,16,408,318,286,284,254,6,4,3,3,2
590,0.946605335880406,-49068.4756954012,0.950750936237806,20,15,387,310,300,297,250,6,4,3,3,3
600,0.945576431815749,-49011.787256409,0.94770373632386,20,15,377,306,299,293,255,6,4,3,3,3
610,0.946263846814674,-49049.4898084727,0.950756238591325,20,16,376,314,302,295,259,6,4,3,3,2
620,0.946261111413871,-49049.5262626077,0.939534569678406,20,16,392,318,296,274,263,6,4,3,3,2
630,0.946343712520082,-49054.2832006365,0.947423113506971,20,15,394,327,296,279,263,6,4,3,3,3
640,0.946366654829396,-49055.0768788109,0.946733301079285,20,16,399,325,300,290,257,6,3,3,3,3
650,0.946108997470483,-49040.9281624349,0.947937211274931,20,16,399,329,304,285,258,6,3,3,3,3
660,0.946158762851029,-49044.3766554493,0.945993283962754,20,16,411,323,296,292,257,6,4,3,3,2
670,0.945724235891865,-49020.6959618746,0.947316138097629,20,17,417,318,288,280,271,6,4,3,2,2
680,0.945762145621123,-49021.9146874426,0.942174767206214,20,16,427,314,295,263,258,6,4,3,3,2
690,0.945674660473516,-49017.0888785989,0.939605957082027,20,16,426,302,285,278,259,6,4,3,3,2
700,0.945730432438994,-49021.1959376648,0.945251077454379,20,15,409,333,282,280,256,6,4,3,3,3
710,0.945867983982807,-49028.9479814451,0.938326073483637,20,15,415,316,286,273,266,6,4,3,3,3
720,0.945724208966669,-49022.596584192,0.941258210124418,20,16,411,313,298,271,266,6,4,3,3,2
730,0.945340079486845,-49000.1367734975,0.945103623206468,20,16,399,309,303,286,267,6,4,3,3,2
740,0.94529052046675,-48996.2099326926,0.946922070201733,20,15,392,308,299,291,263,6,4,3,3,3
750,0.945277299837237,-48995.9931140577,0.939559419188042,20,16,395,313,310,287,263,6,4,3,3,2
